序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,node_id
,磁搅温度反馈_上位机[2],REAL,,0.000000,,,,R10464,ns=4;s=上位机通讯|磁搅温度反馈_上位机[2]
,磁搅温度反馈_上位机[3],REAL,,0.000000,,,,R10466,ns=4;s=上位机通讯|磁搅温度反馈_上位机[3]
,磁搅温度反馈_上位机[4],REAL,,0.000000,,,,R10468,ns=4;s=上位机通讯|磁搅温度反馈_上位机[4]
,磁搅温度反馈_上位机[5],REAL,,0.000000,,,,R10470,ns=4;s=上位机通讯|磁搅温度反馈_上位机[5]
40,磁搅速度设置_上位机,INT[6],,...,保持,公有,,R10480,ns=4;s=上位机通讯|磁搅速度设置_上位机
,磁搅速度设置_上位机[0],INT,,0,,,,R10480,ns=4;s=上位机通讯|磁搅速度设置_上位机[0]
,磁搅速度设置_上位机[1],INT,,0,,,,R10481,ns=4;s=上位机通讯|磁搅速度设置_上位机[1]
,磁搅速度设置_上位机[2],INT,,0,,,,R10482,ns=4;s=上位机通讯|磁搅速度设置_上位机[2]
,磁搅速度设置_上位机[3],INT,,0,,,,R10483,ns=4;s=上位机通讯|磁搅速度设置_上位机[3]
,磁搅速度设置_上位机[4],INT,,0,,,,R10484,ns=4;s=上位机通讯|磁搅速度设置_上位机[4]
,磁搅速度设置_上位机[5],INT,,0,,,,R10485,ns=4;s=上位机通讯|磁搅速度设置_上位机[5]
41,磁搅温度设置_上位机,INT[6],,...,保持,公有,,R10490,ns=4;s=上位机通讯|磁搅温度设置_上位机
,磁搅温度设置_上位机[0],INT,,0,,,,R10490,ns=4;s=上位机通讯|磁搅温度设置_上位机[0]
,磁搅温度设置_上位机[1],INT,,0,,,,R10491,ns=4;s=上位机通讯|磁搅温度设置_上位机[1]
,磁搅温度设置_上位机[2],INT,,0,,,,R10492,ns=4;s=上位机通讯|磁搅温度设置_上位机[2]
,磁搅温度设置_上位机[3],INT,,0,,,,R10493,ns=4;s=上位机通讯|磁搅温度设置_上位机[3]
,磁搅温度设置_上位机[4],INT,,0,,,,R10494,ns=4;s=上位机通讯|磁搅温度设置_上位机[4]
,磁搅温度设置_上位机[5],INT,,0,,,,R10495,ns=4;s=上位机通讯|磁搅温度设置_上位机[5]
42,磁搅时间设置_上位机,DINT[6],,...,保持,公有,,R10500,ns=4;s=上位机通讯|磁搅时间设置_上位机
,磁搅时间设置_上位机[0],DINT,,30000,,,,R10500,ns=4;s=上位机通讯|磁搅时间设置_上位机[0]
,磁搅时间设置_上位机[1],DINT,,30000,,,,R10502,ns=4;s=上位机通讯|磁搅时间设置_上位机[1]
,磁搅时间设置_上位机[2],DINT,,30000,,,,R10504,ns=4;s=上位机通讯|磁搅时间设置_上位机[2]
,磁搅时间设置_上位机[3],DINT,,30000,,,,R10506,ns=4;s=上位机通讯|磁搅时间设置_上位机[3]
,磁搅时间设置_上位机[4],DINT,,30000,,,,R10508,ns=4;s=上位机通讯|磁搅时间设置_上位机[4]
,磁搅时间设置_上位机[5],DINT,,30000,,,,R10510,ns=4;s=上位机通讯|磁搅时间设置_上位机[5]
43,磁搅安全温度设置_上位机,INT[6],,...,保持,公有,,R10520,ns=4;s=上位机通讯|磁搅安全温度设置_上位机
,磁搅安全温度设置_上位机[0],INT,,0,,,,R10520,ns=4;s=上位机通讯|磁搅安全温度设置_上位机[0]
,磁搅安全温度设置_上位机[1],INT,,0,,,,R10521,ns=4;s=上位机通讯|磁搅安全温度设置_上位机[1]
,磁搅安全温度设置_上位机[2],INT,,0,,,,R10522,ns=4;s=上位机通讯|磁搅安全温度设置_上位机[2]
,磁搅安全温度设置_上位机[3],INT,,0,,,,R10523,ns=4;s=上位机通讯|磁搅安全温度设置_上位机[3]
,磁搅安全温度设置_上位机[4],INT,,0,,,,R10524,ns=4;s=上位机通讯|磁搅安全温度设置_上位机[4]
,磁搅安全温度设置_上位机[5],INT,,0,,,,R10525,ns=4;s=上位机通讯|磁搅安全温度设置_上位机[5]
44,S05准备信号,BOOL,,OFF,保持,公有,拍照工位机器人可取放料 PLC TO PC,R10530.0,ns=4;s=上位机通讯|S05准备信号
45,S05数据,INT[30],,...,保持,私有,S05 PC-PLC 照片命名,,ns=4;s=上位机通讯|S05数据
,S05数据[0],INT,,16705,,,,,ns=4;s=上位机通讯|S05数据[0]
,S05数据[1],INT,,16962,,,,,ns=4;s=上位机通讯|S05数据[1]
,S05数据[2],INT,,16705,,,,,ns=4;s=上位机通讯|S05数据[2]
,S05数据[3],INT,,16962,,,,,ns=4;s=上位机通讯|S05数据[3]
,S05数据[4],INT,,16705,,,,,ns=4;s=上位机通讯|S05数据[4]
,S05数据[5],INT,,16962,,,,,ns=4;s=上位机通讯|S05数据[5]
,S05数据[6],INT,,16705,,,,,ns=4;s=上位机通讯|S05数据[6]
,S05数据[7],INT,,16962,,,,,ns=4;s=上位机通讯|S05数据[7]
,S05数据[8],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[8]
,S05数据[9],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[9]
,S05数据[10],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[10]
,S05数据[11],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[11]
,S05数据[12],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[12]
,S05数据[13],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[13]
,S05数据[14],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[14]
,S05数据[15],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[15]
,S05数据[16],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[16]
,S05数据[17],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[17]
,S05数据[18],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[18]
,S05数据[19],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[19]
,S05数据[20],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[20]
,S05数据[21],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[21]
,S05数据[22],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[22]
,S05数据[23],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[23]
,S05数据[24],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[24]
,S05数据[25],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[25]
,S05数据[26],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[26]
,S05数据[27],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[27]
,S05数据[28],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[28]
,S05数据[29],INT,,0,,,,,ns=4;s=上位机通讯|S05数据[29]
46,S05拍照结果,INT,,0,保持,公有,拍照1OK 2NG  PLC TO PC,R10531,ns=4;s=上位机通讯|S05拍照结果
47,S05加工完成,BOOL,,OFF,保持,公有,拍照工位完成 PLC TO PC,R10530.1,ns=4;s=上位机通讯|S05加工完成
48,S06准备信号,BOOL,,OFF,保持,公有,加溶液工位  PLC TO PC,R10540.0,ns=4;s=上位机通讯|S06准备信号
49,S06允许加工,BOOL,,OFF,保持,公有,加溶液工位  放料完成等待参数下发 PLC TO PC,R10540.1,ns=4;s=上位机通讯|S06允许加工
50,S06工艺选择,INT,,0,保持,公有,加溶液工位参数  PC TO PLC 1.只加1号溶液，2.只加2号溶液，3.1和2溶液都添加,,ns=4;s=上位机通讯|S06工艺选择
51,S06_1号溶液添加量,INT,,5,保持,公有,加溶液工位参数  PC TO PLC,,ns=4;s=上位机通讯|S06_1号溶液添加量
52,S06_2号溶液添加量,INT,,8,保持,公有,加溶液工位参数  PC TO PLC,,ns=4;s=上位机通讯|S06_2号溶液添加量
53,S06参数写入完成,BOOL,,OFF,保持,公有,加溶液工位  PC TO PLC,R10540.2,ns=4;s=上位机通讯|S06参数写入完成
54,S06加工完成,BOOL,,OFF,保持,公有,加溶液工位  PLC TO PC,R10540.3,ns=4;s=上位机通讯|S06加工完成
55,S08原点信号,BOOL,,OFF,保持,公有,S08开关盖工位-PLC TO PC,R10550.0,ns=4;s=上位机通讯|S08原点信号
56,S082瓶盖暂存位,INT,,0,保持,公有,取放瓶盖工位 PC TO PLC  1-5,R10552,ns=4;s=上位机通讯|S082瓶盖暂存位
57,S08允许加工,BOOL,,OFF,保持,公有,S08开关盖工位-PLC TO PC ,,ns=4;s=上位机通讯|S08允许加工
58,S08工艺选择,INT,,0,保持,公有,S08开关盖工位-PC TO PLC 1-6,,ns=4;s=上位机通讯|S08工艺选择
59,S08参数写入完成,BOOL,,OFF,保持,公有,S08开关盖工位-PC TO PLC,,ns=4;s=上位机通讯|S08参数写入完成
60,S08工艺完成,INT,,0,保持,公有,S08开关盖工位-PLC TO PC 1-6,,ns=4;s=上位机通讯|S08工艺完成
