Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId,设备模块
真空烘箱真空控制上限3,VacuumOven_VacuumHigh_3,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumHigh_3,
真空烘箱真空控制下限3,VacuumOven_VacuumLow_3,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumLow_3,
真空烘箱运行温度设置4,VacuumOven_TempSet_4,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TempSet_4,
真空烘箱运行时间设置4,VacuumOven_TimeSet_4,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TimeSet_4,
真空烘箱真空控制上限4,VacuumOven_VacuumHigh_4,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumHigh_4,
真空烘箱真空控制下限4,VacuumOven_VacuumLow_4,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumLow_4,
真空烘箱运行温度设置5,VacuumOven_TempSet_5,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TempSet_5,
真空烘箱运行时间设置5,VacuumOven_TimeSet_5,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TimeSet_5,
真空烘箱真空控制上限5,VacuumOven_VacuumHigh_5,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumHigh_5,
真空烘箱真空控制下限5,VacuumOven_VacuumLow_5,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumLow_5,
真空烘箱运行温度设置6,VacuumOven_TempSet_6,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TempSet_6,
真空烘箱运行时间设置6,VacuumOven_TimeSet_6,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_TimeSet_6,
真空烘箱真空控制上限6,VacuumOven_VacuumHigh_6,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumHigh_6,
真空烘箱真空控制下限6,VacuumOven_VacuumLow_6,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_VacuumLow_6,
真空烘箱指令类型,VacuumOven_CmdType,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_CmdType,
真空烘箱指令触发,VacuumOven_CmdTrig,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.VacuumOven_CmdTrig,
七个液冷模块9320液冷模块1温度反馈,Liquid_Cooling_9320_1_FB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_9320_1_FB,"七个液冷模块
1=温度设置
2=液冷模块开启
3=液冷模块关闭"
七个液冷模块9320液冷模块2温度反馈,Liquid_Cooling_9320_2_FB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_9320_2_FB,
七个液冷模块离心管液体处理模块1温度反馈,Liquid_Cooling_CentrifugeTube_1_FB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_1_FB,
七个液冷模块离心管液体处理模块2温度反馈,Liquid_Cooling_CentrifugeTube_2_FB,VARIABLE,INT16,Chinese,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Liquid_Cooling_CentrifugeTube_2_FB,
