Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId,描述,设备模块指令
Centrifuge_YSpeed,Centrifuge_YSpeed,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_YSpeed,Y速度,
Centrifuge_ZSpeed,Centrifuge_ZSpeed,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_ZSpeed,Z速度,
Centrifuge_CmdType,Centrifuge_CmdType,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_CmdType,指令类型,离心机: 1=Y向左;2=Y向右;3=Z向左;4=Z向右;5=放入物料;6=运行离心机;7=取出物料;8=复位;9=夹爪张开;10=夹爪夹紧
Centrifuge_CmdTrig,Centrifuge_CmdTrig,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Centrifuge_CmdTrig,指令触发,
Tube_XPosFB,Tube_XPosFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_XPosFB,X位置反馈,
Tube_YPosFB,Tube_YPosFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_YPosFB,Y位置反馈,
Tube_Z1PosFB,Tube_Z1PosFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_Z1PosFB,Z1位置反馈,
Tube_P1PosFB,Tube_P1PosFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_P1PosFB,P1位置反馈,
Tube_Z2PosFB,Tube_Z2PosFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_Z2PosFB,Z2位置反馈,
Tube_P2PosFB,Tube_P2PosFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_P2PosFB,P2位置反馈,
Tube_Z3PosFB,Tube_Z3PosFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_Z3PosFB,Z3位置反馈,
Tube_Z4PosFB,Tube_Z4PosFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_Z4PosFB,Z4位置反馈,
Tube_MPosFB,Tube_MPosFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_MPosFB,M轴位置反馈,
Tube_CompleteFB,Tube_CompleteFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_CompleteFB,完成反馈,
Tube_ThermostaticModule1_TemperatureFB,Tube_ThermostaticModule1_TemperatureFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_ThermostaticModule1_TemperatureFB,恒温模块1温度反馈,
Tube_ThermostaticModule2_TemperatureFB,Tube_ThermostaticModule2_TemperatureFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_ThermostaticModule2_TemperatureFB,恒温模块2温度反馈,
Tube_ThermostaticModule3_TemperatureFB,Tube_ThermostaticModule3_TemperatureFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_ThermostaticModule3_TemperatureFB,恒温模块3温度反馈,
Tube_ThermostaticModule4_TemperatureFB,Tube_ThermostaticModule4_TemperatureFB,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_ThermostaticModule4_TemperatureFB,恒温模块4温度反馈,
Tube_XPosSet,Tube_XPosSet,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_XPosSet,X运行位置,
Tube_YPosSet,Tube_YPosSet,VARIABLE,INT16,English,ns=4;s=|var|Inovance-X86-Linux.Application.OPC_UA.Tube_YPosSet,Y运行位置,
